date,region,orders,revenue
2026-01-02,South,40,1548.35
2026-01-03,North,70,2878.43
2026-01-03,South,54,2041.89
2026-01-04,North,57,2350.14
2026-01-04,South,37,1413.56
2026-01-05,North,41,1580.88
2026-01-05,South,34,1426.57
2026-01-06,North,53,2009.46
2026-01-06,South,32,1290.88
2026-01-07,North,47,1854.99
2026-01-07,South,37,1395.63
2026-01-08,North,58,2441.03
2026-01-08,South,36,1475.3
2026-01-09,North,61,2182.01
2026-01-09,South,42,1759.4
2026-01-10,North,79,3222.41
2026-01-10,South,58,2288.69
2026-01-11,North,57,2188.02
2026-01-11,South,39,1520.45
2026-01-12,North,43,1787.1
2026-01-12,South,31,1224.31
2026-01-13,North,54,2072.69
2026-01-13,South,34,1374.51
2026-01-14,North,58,2295.17
2026-01-14,South,36,1474.56
2026-01-15,North,56,2113.47
2026-01-15,South,40,1670.93
2026-01-16,North,64,2466.18
2026-01-16,South,42,1756.39
2026-01-17,North,76,3197.99
2026-01-17,South,46,1921.79
2026-01-18,North,53,2185.24
2026-01-18,South,37,1555.59
2026-01-19,North,51,2009.27
2026-01-19,South,32,1311.75
2026-01-20,North,49,1896.04
2026-01-20,South,34,1281.92
2026-01-21,North,54,2006.6
2026-01-21,South,39,1552.34
2026-01-22,North,54,2128.11
2026-01-22,South,39,1578.36
2026-01-23,North,63,2517.08
2026-01-23,South,46,1813.56
2026-01-24,North,71,2831.05
2026-01-24,South,48,1985.61
2026-01-25,North,61,2431.42
2026-01-25,South,40,1578.39
2026-01-26,North,48,1839.23
2026-01-26,South,36,1390.01
2026-01-27,North,54,2154.63
2026-01-27,South,36,1517.99
2026-01-28,North,54,2156.87
2026-01-28,South,37,1516.96
2026-01-29,North,55,2306.47
2026-01-29,South,39,1572.83
2026-01-30,North,65,2782.01
2026-01-30,South,49,2028.11
2026-01-31,North,75,2984.59
2026-01-31,South,49,2038.1
2026-02-01,North,58,2253.33
2026-02-01,South,38,1539.44
2026-02-02,North,48,1915.32
2026-02-02,South,34,1234.66
2026-02-03,North,51,1993.52
2026-02-03,South,36,1403.52
2026-02-04,North,50,1944.32
2026-02-04,South,36,1415.34
2026-02-05,North,55,2195.16
2026-02-05,South,39,1502.42
2026-02-06,North,73,2805.76
2026-02-06,South,44,1773.11
2026-02-07,North,75,3068.19
2026-02-07,South,52,2172.99
2026-02-08,North,54,2151.58
2026-02-08,South,38,1492.36
2026-02-09,North,50,2018.75
2026-02-09,South,31,1187.23
2026-02-10,North,57,2264.36
2026-02-10,South,35,1506.47
2026-02-11,North,50,1945.46
2026-02-11,South,39,1533.59
2026-02-12,North,57,2198.95
2026-02-12,South,36,1373.42
2026-02-13,North,64,2537.22
2026-02-13,South,44,1775.69
2026-02-14,North,70,2742.38
2026-02-14,South,54,2194.48
2026-02-15,North,61,2461.4
2026-02-15,South,36,1401.93
2026-02-16,North,49,1959.67
2026-02-16,South,33,1359.13
2026-02-17,North,53,2011.7
2026-02-17,South,33,1295.88
2026-02-18,North,53,2125.34
2026-02-18,South,39,1506.01
2026-02-19,North,60,2279.14
2026-02-19,South,44,1771.79
2026-02-20,North,65,2539.89
2026-02-20,South,50,2057.81
2026-02-21,North,78,3085.56
2026-02-21,South,52,2030.56
2026-02-22,North,55,2028.79
2026-02-22,South,41,1660.33
2026-02-23,North,46,1846.31
2026-02-23,South,33,1315.37
2026-02-24,North,57,2292.91
2026-02-24,South,35,1548.28
2026-02-25,North,54,2147.2
2026-02-25,South,40,1557.49
2026-02-26,North,60,2361.81
2026-02-26,South,36,1514.75
2026-02-27,North,67,2642.45
2026-02-27,South,48,1916.23
2026-02-28,North,77,2967.21
2026-02-28,South,53,2109.92
2026-03-01,North,57,2256.94
2026-03-01,South,42,1725.46
2026-03-02,North,52,2036.9
2026-03-02,South,34,1405.59
2026-03-03,North,52,2087.15
2026-03-03,South,34,1424.62
2026-03-04,North,55,2100.66
2026-03-04,South,38,1538.73
2026-03-05,North,59,2380.85
2026-03-05,South,41,1603.08
2026-03-06,North,72,2895.47
2026-03-06,South,45,1763.71
2026-03-07,North,82,3262.59
2026-03-07,South,54,2201.28
2026-03-08,North,60,2360.47
2026-03-08,South,38,1553.11
2026-03-09,North,48,1959.77
2026-03-09,South,29,1220.82
2026-03-10,North,48,1800.15
2026-03-10,South,37,1503.22
2026-03-11,North,59,2400.75
2026-03-11,South,39,1622.02
2026-03-12,North,62,2502.6
2026-03-12,South,40,1691.01
2026-03-13,North,67,2708.48
2026-03-13,South,45,1811.12
2026-03-14,North,82,3327.15
2026-03-14,South,56,2115.21
2026-03-15,North,62,2419.21
2026-03-15,South,38,1452.78
2026-03-16,North,52,2059.76
2026-03-16,South,32,1210.99
2026-03-17,North,56,2293.51
2026-03-17,South,35,1483.56
2026-03-18,North,54,2194.88
2026-03-18,South,40,1549.16
2026-03-19,North,64,2579.84
2026-03-19,South,36,1506.52
2026-03-20,North,63,2376.9
2026-03-20,South,48,1962.17
2026-03-21,North,83,3386.97
2026-03-21,South,51,2171.22
2026-03-22,North,61,2547.01
2026-03-22,South,37,1535.67
2026-03-23,North,53,2200.27
2026-03-23,South,36,1434.47
2026-03-24,North,59,2380.7
2026-03-24,South,35,1389.5
2026-03-25,North,61,2297.47
2026-03-25,South,34,1364.34
2026-03-26,North,55,2277.76
2026-03-26,South,38,1529.99
2026-03-27,North,61,2426.53
2026-03-27,South,48,1881.79
2026-03-28,North,83,3004.7
2026-03-28,South,57,2277.21
2026-03-29,North,55,2231.12
2026-03-29,South,38,1611.73
2026-03-30,North,50,1888.09
2026-03-30,South,34,1273.19
2026-03-31,North,56,2131.1
2026-03-31,South,37,1494.35
2026-04-01,North,50,1952.38
2026-04-01,South,36,1391.02
2026-04-02,North,51,2137.35
2026-04-02,South,40,1611.22
2026-04-03,North,69,2721.62
2026-04-03,South,45,1856.69
2026-04-04,North,79,3192.11
2026-04-04,South,51,2035.59
2026-04-05,North,58,2472.07
2026-04-05,South,38,1564.06
2026-04-06,North,50,2119.55
2026-04-06,South,33,1241.3
2026-04-07,North,50,1992.25
2026-04-07,South,35,1458.12
2026-04-08,North,51,2021.52
2026-04-08,South,36,1407.43
2026-04-09,North,58,2210.3
2026-04-09,South,38,1555.48
2026-04-10,North,63,2454.37
2026-04-10,South,48,1933.14
2026-04-11,North,71,2885.3
2026-04-11,South,53,1914.45
2026-04-12,North,60,2435.62
2026-04-12,South,41,1593.5
2026-04-13,North,50,2008.27
2026-04-13,South,36,1451.91
2026-04-14,North,54,2240.58
2026-04-14,South,36,1523.91
2026-04-15,North,52,2019.76
2026-04-15,South,42,1698.1
2026-04-16,North,56,2235.29
2026-04-16,South,37,1494.3
2026-04-17,North,63,2589.1
2026-04-17,South,47,1780.41
2026-04-18,North,75,3065.72
2026-04-18,South,52,2191.63
2026-04-19,North,59,2454.78
2026-04-19,South,43,1836.56
2026-04-20,North,47,1907.99
2026-04-20,South,36,1441.54
2026-04-21,North,54,2134.94
2026-04-21,South,31,1229.78
2026-04-22,North,57,2310.97
2026-04-22,South,35,1315.0
2026-04-23,North,65,2502.25
2026-04-23,South,40,1653.0
2026-04-24,North,61,2289.99
2026-04-24,South,47,2070.51
2026-04-25,North,83,3392.29
2026-04-25,South,55,2259.16
2026-04-26,North,58,2315.2
2026-04-26,South,39,1633.93
2026-04-27,North,49,1982.67
2026-04-27,South,34,1387.65
2026-04-28,North,48,1797.77
2026-04-28,South,36,1386.81
2026-04-29,North,54,2130.43
2026-04-29,South,37,1554.19
2026-04-30,North,61,2385.11
2026-04-30,South,41,1564.07
2026-05-01,North,66,2554.44
2026-05-01,South,39,1547.68
2026-05-02,North,79,2892.78
2026-05-02,South,54,2182.59
2026-05-03,North,57,2251.37
2026-05-03,South,36,1487.68
2026-05-04,North,53,2191.34
2026-05-04,South,35,1421.84
2026-05-05,North,52,2109.72
2026-05-05,South,34,1379.73
2026-05-06,North,48,1876.73
2026-05-06,South,35,1360.02
2026-05-07,North,56,2238.75
2026-05-07,South,40,1522.64
2026-05-08,North,59,2426.98
2026-05-08,South,42,1683.87
2026-05-09,North,63,2259.14
2026-05-09,South,49,1907.8
2026-05-10,North,56,2229.54
2026-05-10,South,35,1331.34
2026-05-11,North,53,2163.18
2026-05-11,South,33,1257.34
2026-05-12,North,52,2133.21
2026-05-12,South,36,1413.53
2026-05-13,North,51,2170.11
2026-05-13,South,39,1451.62
2026-05-14,North,55,2293.64
2026-05-14,South,38,1443.19
2026-05-15,North,71,2873.29
2026-05-15,South,47,1764.72
2026-05-16,North,79,3195.78
2026-05-16,South,52,2094.22
2026-05-17,North,58,2388.46
2026-05-17,South,38,1543.26
2026-05-18,North,49,1920.36
2026-05-18,South,34,1462.36
2026-05-19,North,52,2076.87
2026-05-19,South,37,1396.89
2026-05-20,North,57,2357.48
2026-05-20,South,36,1403.3
2026-05-21,North,59,2533.23
2026-05-21,South,38,1572.02
2026-05-22,North,67,2663.99
2026-05-22,South,44,1745.69
2026-05-23,North,73,2914.7
2026-05-23,South,52,2054.49
2026-05-24,North,59,2377.57
2026-05-24,South,36,1532.3
2026-05-25,North,47,1974.7
2026-05-25,South,35,1382.23
2026-05-26,North,55,2197.5
2026-05-26,South,34,1301.03
2026-05-27,North,50,2110.2
2026-05-27,South,37,1406.91
2026-05-28,North,57,2197.35
2026-05-28,South,36,1458.13
2026-05-29,North,66,2621.58
2026-05-29,South,45,1820.6
2026-05-30,North,71,2818.9
2026-05-30,South,53,2010.95
2026-05-31,North,63,2594.32
2026-05-31,South,37,1425.31
2026-06-01,North,53,2203.1
2026-06-01,South,36,1468.87
2026-06-02,North,50,1886.79
2026-06-02,South,35,1430.31
2026-06-03,North,57,2201.76
2026-06-03,South,40,1561.41
2026-06-04,North,59,2389.81
2026-06-04,South,40,1637.33
2026-06-05,North,56,2184.67
2026-06-05,South,42,1716.03
2026-06-06,North,78,2941.88
2026-06-06,South,50,1866.27
2026-06-07,North,57,2368.79
2026-06-07,South,39,1541.74
2026-06-08,North,49,1996.31
2026-06-08,South,33,1340.55
2026-06-09,North,48,1955.51
2026-06-09,South,34,1330.77
2026-06-10,North,53,2082.2
2026-06-10,South,36,1324.5
2026-06-11,North,57,2367.97
2026-06-11,South,34,1345.57
2026-06-12,North,70,2774.8
2026-06-12,South,43,1768.51
2026-06-13,North,79,3289.93
2026-06-13,South,45,1906.68
2026-06-14,North,57,2202.05
2026-06-14,South,39,1431.84
2026-06-15,North,53,2052.1
2026-06-15,South,31,1361.52
2026-06-16,North,50,2015.35
2026-06-16,South,33,1264.21
2026-06-17,North,53,2064.16
2026-06-17,South,36,1491.68
2026-06-18,North,51,2091.67
2026-06-18,South,39,1632.2
2026-06-19,North,72,2908.09
2026-06-19,South,40,1658.98
2026-06-20,North,82,3166.47
2026-06-20,South,46,1850.32
2026-06-21,North,60,2406.56
2026-06-21,South,36,1377.28
2026-06-22,North,50,1973.65
2026-06-22,South,28,1146.32
2026-06-23,North,52,2151.43
2026-06-23,South,32,1245.67
2026-06-24,North,55,2147.81
2026-06-24,South,40,1448.64
2026-06-25,North,56,2203.11
2026-06-25,South,36,1592.76
2026-06-26,North,65,2718.1
2026-06-26,South,45,1847.8
2026-06-27,North,77,3338.56
2026-06-27,South,47,2008.17
2026-06-28,North,62,2665.91
2026-06-28,South,39,1506.67
2026-06-29,North,50,2004.74
2026-06-29,South,32,1350.44
2026-06-30,North,51,2056.74
2026-06-30,South,34,1441.08
2026-07-01,North,52,2199.61
2026-07-01,South,37,1566.28
2026-07-02,North,55,2189.73
2026-07-02,South,42,1678.66
2026-07-03,North,72,2774.55
2026-07-03,South,44,1680.64
2026-07-04,North,80,3214.03
2026-07-04,South,52,2066.17
2026-07-05,North,57,2318.6
2026-07-05,South,36,1321.05
2026-07-06,North,48,1860.3
2026-07-06,South,34,1273.2
2026-07-07,North,48,1801.47
2026-07-07,South,34,1364.69
2026-07-08,North,54,2043.62
2026-07-08,South,38,1463.49
2026-07-09,North,60,2459.89
2026-07-09,South,38,1510.63
2026-07-10,North,64,2487.2
2026-07-10,South,48,1912.15
2026-07-11,North,76,3023.89
2026-07-11,South,45,1930.32
2026-07-12,North,57,2298.17
2026-07-12,South,38,1593.96
2026-07-13,North,49,2005.51
2026-07-13,South,34,1357.71
2026-07-14,North,47,1856.39
2026-07-14,South,34,1421.65
2026-07-15,North,54,2200.4
2026-07-15,South,35,1359.07
2026-07-16,North,54,2087.91
2026-07-16,South,38,1500.8
2026-07-17,North,70,2762.02
2026-07-17,South,40,1654.61
2026-07-18,North,74,2846.29
2026-07-18,South,52,1983.15
2026-07-19,North,59,2460.16
2026-07-19,South,44,1741.59
2026-07-20,North,53,2117.85
2026-07-20,South,35,1330.66
2026-07-21,North,51,1983.44
2026-07-21,South,32,1285.64
2026-07-22,North,53,2091.99
2026-07-22,South,35,1485.71
2026-07-23,North,58,2300.71
2026-07-23,South,37,1438.26
2026-07-24,North,66,2709.35
2026-07-24,South,47,1895.92
2026-07-25,North,73,2745.28
2026-07-25,South,49,1894.05
2026-07-26,North,59,2268.21
2026-07-26,South,37,1416.2
2026-07-27,North,55,2168.81
2026-07-27,South,34,1296.97
2026-07-28,North,51,2233.72
2026-07-28,South,36,1518.56
2026-07-29,North,54,2237.41
2026-07-29,South,36,1567.57
2026-07-30,North,54,2150.97
2026-07-30,South,36,1466.08
2026-07-31,North,68,2792.62
2026-07-31,South,40,1557.02
2026-08-01,North,72,3102.2
2026-08-01,South,50,2052.87
2026-08-02,North,54,2141.07
2026-08-02,South,34,1342.95
2026-08-03,North,53,2090.87
2026-08-03,South,34,1400.87
2026-08-04,North,49,2049.08
2026-08-04,South,34,1374.84
2026-08-05,North,59,2403.73
2026-08-05,South,38,1535.94
2026-08-06,North,64,2624.45
2026-08-06,South,43,1759.17
2026-08-07,North,68,2668.16
2026-08-07,South,48,1878.28
2026-08-08,North,81,3473.79
2026-08-08,South,49,1930.28
2026-08-09,North,65,2766.69
2026-08-09,South,41,1534.14
2026-08-10,North,49,2001.6
2026-08-10,South,35,1376.8
2026-08-11,North,51,2092.35
2026-08-11,South,34,1287.46
2026-08-12,North,51,1884.91
2026-08-12,South,35,1392.4
2026-08-13,North,59,2416.44
2026-08-13,South,39,1503.98
2026-08-14,North,74,2938.45
2026-08-14,South,41,1646.23
2026-08-15,North,84,3414.67
2026-08-15,South,58,2359.43
2026-08-16,North,56,2297.33
2026-08-16,South,34,1287.57
2026-08-17,North,48,1895.43
2026-08-17,South,31,1202.18
2026-08-18,North,52,1948.14
2026-08-18,South,35,1350.48
2026-08-19,North,57,2311.45
2026-08-19,South,37,1521.43
2026-08-20,North,58,2255.5
2026-08-20,South,40,1702.38
2026-08-21,North,69,2725.82
2026-08-21,South,46,1898.76
2026-08-22,North,82,3205.65
2026-08-22,South,53,2092.22
2026-08-23,North,58,2290.28
2026-08-23,South,42,1772.3
2026-08-24,North,50,1826.79
2026-08-24,South,29,1094.14
2026-08-25,North,54,2258.57
2026-08-25,South,36,1520.97
2026-08-26,North,56,2261.28
2026-08-26,South,36,1404.56
2026-08-27,North,62,2583.36
2026-08-27,South,40,1433.18
2026-08-28,North,77,3308.67
2026-08-28,South,47,2066.88
2026-08-29,North,84,3362.85
2026-08-29,South,51,2160.72
2026-08-30,North,60,2237.78
2026-08-30,South,39,1499.63
2026-08-31,North,46,1778.32
2026-08-31,South,36,1449.13
